Observer,Detected,Distance,Y,Beaufort,Group.Size,y10,y01,y11
1,0,0,5877.058,4,1,0,1,0
1,1,1928.397,3340.082736,4,3,0,0,1
1,0,5016.688,350.7975463,3,1,0,1,0
1,1,2528.122,5421.575921,3.098236,1,1,0,0
1,1,2044.061,3844.32045,3.872814,1,1,0,0
1,1,242.0264,6930.729414,3.098236,2,0,0,1
1,1,1659.251,1493.995635,3.098236,2,1,0,0
1,1,2872.918,3812.489864,3,3,0,0,1
1,0,2239.549,6892.624347,3,1,0,1,0
1,1,417.2865,5967.475034,4,1,0,0,1
1,1,300,519.6152423,4,1,0,0,1
1,1,46.73096,668.2838188,4.5,1,0,0,1
1,1,0,1707.234,4,2,1,0,0
1,1,128.7311,1471.40348,4,3,0,0,1
1,1,2167.24,4253.446553,4,1,1,0,0
1,0,4008.144,4298.208046,3,3,0,1,0
1,0,687.6284,3537.540906,4,2,0,1,0
1,1,1933.611,1116.371506,4,3,1,0,0
1,1,4977.819,5726.325747,1,3,0,0,1
1,0,4402.3,462.6994266,5,2,0,1,0
1,1,1850.927,1666.582229,4.230268,1,1,0,0
1,1,5421.576,2528.12183,5,2,1,0,0
1,1,3206.883,5554.48429,4,2,1,0,0
1,1,1613.2,8299.192469,4.286814,1,0,0,1
1,1,1245.334,2156.98176,4.5,2,0,0,1
1,1,1414.214,1414.213125,1,1,1,0,0
1,1,2816.694,1626.218883,4.286814,4,1,0,0
1,1,5217.905,920.0597649,4.286814,4,0,0,1
1,1,1788.28,4426.148601,4.286814,4,1,0,0
1,1,1038.772,5891.166187,4.286814,1,1,0,0
1,1,3167.121,7838.900079,4.286814,1,1,0,0
1,0,2022.045,1469.101561,4,2,0,1,0
1,1,3811.35,3680.577908,5.2,2,0,0,1
1,1,175.3485,359.5175984,5.2,1,1,0,0
1,1,3235.624,2913.3696,3.128864,1,0,0,1
1,1,1307.817,1097.389004,2.1,1,1,0,0
1,1,2571.377,2157.641058,3.588759,1,0,0,1
1,1,5141.014,1281.802485,3.588759,1,1,0,0
1,1,5424.098,1453.384767,3.588759,1,1,0,0
1,0,1104.775,1577.782906,3,1,0,1,0
1,1,1668.775,1212.43543,3,1,1,0,0
1,0,1767.767,1767.766906,3.416006,1,0,1,0
1,0,7219.756,631.6434184,2.128794,1,0,1,0
1,0,3022.952,7875.057876,2.068356,1,0,1,0
1,0,385.7992,4409.704642,0.8,5,0,1,0
1,1,4340.195,3039.037664,0.8,1,0,0,1
1,1,479.1831,3025.443478,2.068356,1,1,0,0
1,1,1204.242,6829.596488,0.8,1,1,0,0
1,1,4912.591,1984.815414,0.8,1,1,0,0
1,1,4588.828,1315.824603,0.8,3,1,0,0
1,1,2536.565,2365.385157,0.8,1,1,0,0
1,1,681.1096,4300.357521,3.416006,1,0,0,1
1,1,399.5453,323.545346,3.416006,1,1,0,0
1,1,1674.59,146.511522,2.128794,1,0,0,1
1,1,1322.579,8350.436795,1.761256,1,0,0,1
1,1,0,5300,1.981847,1,1,0,0
1,0,297.2049,2827.716153,2.3,2,0,1,0
1,1,1788.28,4426.148601,2.3,1,0,0,1
1,0,1781.431,6212.589241,2.8,1,0,1,0
1,0,692.4648,4372.05084,2.3,1,0,1,0
1,1,696.0178,3947.313337,2.038779,1,1,0,0
1,1,5093.149,1460.436861,2.95491,1,1,0,0
1,1,3845.812,3227.019402,2.395207,1,1,0,0
1,1,1694.025,9607.291999,2.038779,1,1,0,0
1,1,661.2904,7558.583436,2.038779,1,1,0,0
1,1,7577.058,397.090187,2.3,1,1,0,0
1,1,453.5644,2572.291253,2.389351,2,1,0,0
1,1,4871.226,1214.5293,2.389351,1,1,0,0
1,1,7246.943,4354.403178,2.8,1,1,0,0
1,1,2645.299,1177.762374,4.549062,1,1,0,0
1,1,2622.357,5376.628132,3.6,2,1,0,0
1,0,2672.731,1481.517209,3.891765,2,0,1,0
1,1,1100.861,379.0588043,3.6,1,0,0,1
1,0,3737.229,3365.016614,4.3,1,0,1,0
1,1,2182.681,2695.38728,4.3,2,0,0,1
1,1,2673.972,2582.223999,4.822452,1,1,0,0
